spring-migrate-1  | 
backend-1         | 2026-08-31T18:03:39.883Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-1] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
backend-1         | 2026-08-31T18:03:41.919Z  INFO 1 --- [customer-agent-backend] [io-8080-exec-10] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
backend-1         | 2026-08-31T18:03:44.011Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-4] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
backend-1         | 2026-08-31T18:03:46.020Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-5] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
backend-1         | 2026-08-31T18:03:48.008Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-7] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
backend-1         | 2026-08-31T18:03:50.192Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-1] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
backend-1         | 2026-08-31T18:03:52.249Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-2] security.human-session                   : security_event=human_login outcome=success subject_id=customer-demo
backend-1         | 2026-08-31T18:03:53.626Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-8] security.human-session                   : security_event=human_login outcome=success subject_id=customer-demo
spring-migrate-1  |   .   ____          _            __ _ _
backend-1         | 2026-08-31T18:03:55.025Z  INFO 1 --- [customer-agent-backend] [io-8080-exec-10] security.human-session                   : security_event=human_login outcome=success subject_id=approver-demo
spring-migrate-1  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
spring-migrate-1  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
spring-migrate-1  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
spring-migrate-1  |   '  |____| .__|_| |_|_| |_\__, | / / / /
spring-migrate-1  |  =========|_|==============|___/=/_/_/_/
spring-migrate-1  | 
backend-1         | 2026-08-31T18:03:56.394Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-4] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
backend-1         | 2026-08-31T18:03:57.824Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-5] security.human-session                   : security_event=human_login outcome=success subject_id=customer-demo
backend-1         | 2026-08-31T18:03:59.237Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-4] security.human-session                   : security_event=human_login outcome=success subject_id=support-demo
spring-migrate-1  |  :: Spring Boot ::                (v4.1.0)
spring-migrate-1  | 
backend-1         | 2026-08-31T18:04:00.524Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-6] security.human-session                   : security_event=human_login outcome=success subject_id=support-no-knowledge
backend-1         | 2026-08-31T18:04:01.830Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-7] security.human-session                   : security_event=human_login outcome=success subject_id=approver-no-knowledge
spring-migrate-1  | 2026-08-31T17:58:19.688Z  INFO 1 --- [customer-agent-backend] [           main] c.s.c.CustomerAgentApplication           : Starting CustomerAgentApplication v0.1.0-SNAPSHOT using Java 25.0.3 with PID 1 (/app/app.jar started by app in /app)
backend-1         | 2026-08-31T18:04:03.211Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-9] security.human-session                   : security_event=human_login outcome=success subject_id=support-no-knowledge
spring-migrate-1  | 2026-08-31T17:58:19.694Z  INFO 1 --- [customer-agent-backend] [           main] c.s.c.CustomerAgentApplication           : No active profile set, falling back to 1 default profile: "default"
backend-1         | 2026-08-31T18:04:04.546Z  INFO 1 --- [customer-agent-backend] [nio-8080-exec-4] security.human-session                   : security_event=human_login outcome=success subject_id=customer-demo
spring-migrate-1  | 2026-08-31T17:58:21.641Z  INFO 1 --- [customer-agent-backend] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8080 (http)
spring-migrate-1  | 2026-08-31T17:58:21.654Z  INFO 1 --- [customer-agent-backend] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
spring-migrate-1  | 2026-08-31T17:58:21.655Z  INFO 1 --- [customer-agent-backend] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.22]
spring-migrate-1  | 2026-08-31T17:58:21.680Z  INFO 1 --- [customer-agent-backend] [           main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 1908 ms
spring-migrate-1  | 2026-08-31T17:58:23.739Z  INFO 1 --- [customer-agent-backend] [           main] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name productionHumanUsers
